Date,NIFTY,GOLD,Ratio,Up,Dn,Signal,Target,RetN,RetG,Held,StratRet,StratEq,NiftyEq,GoldEq,BalEq
2021-05-24,162.42999267578125,42.20000076293945,3.849051889554211,,,,,,,,0.0,100000.0,100000.0,100000.0,100000.0
2021-05-25,162.52999877929688,42.119998931884766,3.858737010941896,,,,,0.000615687422428568,-0.0018957779528039342,,0.0,100000.0,100061.56874224286,99810.42220471961,99935.99547348123
2021-05-26,163.4600067138672,42.63999938964844,3.8334898933781365,,,,,0.005722069412140929,0.012345690193501735,,0.0,100000.0,100634.12798407367,101042.65075534169,100838.80524456396
2021-05-27,164.1199951171875,42.38999938964844,3.871667786748431,,,,,0.004037613949665397,-0.005863039483548715,,0.0,100000.0,101040.4497430346,100450.2337044407,100746.76837961414
2021-05-28,165.02000427246094,42.220001220703125,3.9085741236677474,,,,,0.005483848294236093,-0.004010336668861192,,0.0,100000.0,101594.54024100678,100047.39444882011,100820.99414682727
2021-05-31,166.7899932861328,42.59000015258789,3.916177334786841,,,,,0.010725905755943899,0.008763593585670693,,0.0,100000.0,102684.23370495028,100924.16915307485,101803.46949635002
2021-06-01,166.8800048828125,42.83000183105469,3.896334292514857,,,,,0.0005396702458357883,0.005635165006032894,,0.0,100000.0,102739.6493305973,101492.8934993492,102117.7793224543
2021-06-02,167.2899932861328,42.56999969482422,3.929762614174329,,,,,0.0024567856622979,-0.006070560941278114,,0.0,100000.0,102992.0586280222,100876.77470425476,101933.26396922437
2021-06-03,168.1699981689453,42.5099983215332,3.956010463631558,,,,,0.005260355778168524,-0.0014094755396089065,,0.0,100000.0,103533.8334987316,100734.59135779447,102129.53036515987
2021-06-04,168.14999389648438,42.119998931884766,3.992165198494227,,,,,-0.00011895268287298588,-0.00917429793100899,,0.0,100000.0,103521.5178714688,99810.42220471962,101654.9727047791
2021-06-07,168.6300048828125,42.27999877929688,3.9884108266669354,,,,,0.0028546595524923113,0.0037986669389726835,,0.0,100000.0,103817.03656134909,100189.56875571361,101993.14456622204
2021-06-08,168.57000732421875,42.40999984741211,3.9747702883923735,,,,,-0.00035579408679642377,0.0030747651813765042,,0.0,100000.0,103780.09907363183,100497.6281532608,102131.80277218248
2021-06-09,167.58999633789062,42.5,3.9432940314797795,,,,,-0.005813673510989603,0.0021221446100379016,,0.0,100000.0,103176.75546067959,100710.89865316782,101943.29152136258
2021-06-10,168.60000610351562,42.34999847412109,3.9811100868525986,,,,,0.006026670969003778,-0.003529447667739105,,0.0,100000.0,103798.56781749046,100355.4448068005,102070.57910285998
2021-06-11,169.3300018310547,42.630001068115234,3.97208532930823,,,,,0.00432974911691808,0.006611631737489798,,0.0,100000.0,104247.9895748356,101018.95805071504,102628.97564285716
2021-06-14,169.55999755859375,42.02999877929688,4.0342613010523225,,,,,0.0013582692083624615,-0.014074648693056635,,0.0,100000.0,104389.5864091088,99597.1517048126,101976.44114265716
2021-06-15,170.27000427246094,42.04999923706055,4.049227285654606,,,,,0.0041873479835468075,0.0004758614880930878,,0.0,100000.0,104826.70193326227,99644.54615363268,102214.20989576743
2021-06-16,169.69000244140625,42.09000015258789,4.031598998009814,,,,,-0.0034063652816181955,0.0009512703032843461,,0.0,100000.0,104469.62389521026,99739.33505127286,102088.73709905271
2021-06-17,168.7899932861328,41.34999847412109,4.081983059606885,,,,,-0.005303843139398912,-0.017581413062107254,,0.0,100000.0,103915.53339723808,97985.77660319653,100920.5736471527
2021-06-18,168.6699981689453,40.959999084472656,4.1179199692142,,,,,-0.0007109136913352465,-0.009431666361306212,,0.0,100000.0,103841.65842180357,97061.6074501217,100408.77614856532
2021-06-21,169.07000732421875,40.95000076293945,4.128693630629438,4.1179199692142,3.8334898933781365,NIFTY,NIFTY,0.0023715489394431355,-0.00024409965226279695,,0.0,100000.0,104087.92399670382,97037.91474549504,100515.5834381873
2021-06-22,169.41000366210938,40.93000030517578,4.139017893940419,4.128693630629438,3.8334898933781365,NIFTY,NIFTY,0.0020109796129519353,-0.0004884116579009223,NIFTY,0.0020109796129519353,100201.09796129519,104297.24268981568,96990.52029667495,100592.10434135042
2021-06-23,168.67999267578125,41.0,4.114146162823933,4.139017893940419,3.8334898933781365,,NIFTY,-0.004309137421330433,0.00171022952118971,NIFTY,-0.004309137421330433,99769.31766041178,103847.81153839942,97156.39634776188,100461.38953401815
2021-06-24,169.67999267578125,40.900001525878906,4.148654922871301,4.139017893940419,3.871667786748431,NIFTY,NIFTY,0.005928385365311817,-0.002438987173685181,NIFTY,0.005928385365311817,100360.7886231369,104463.46138454332,96919.4331432282,100636.66442950231
2021-06-25,170.39999389648438,40.95000076293945,4.161171934597366,4.148654922871301,3.896334292514857,NIFTY,NIFTY,0.004243288848313931,0.0012224751881466656,NIFTY,0.004243288848313931,100786.64843830946,104906.73002529262,97037.91474549504,100911.6925600964
2021-06-28,169.85000610351562,40.81999969482422,4.160950695084199,4.161171934597366,3.896334292514857,,NIFTY,-0.0032276280086187548,-0.0031746291988568043,NIFTY,-0.0032276280086187548,100461.34662891517,104568.13012517038,96729.85534794783,100588.66125459067
2021-06-29,169.3300018310547,40.72999954223633,4.157377945842162,4.161171934597366,3.896334292514857,,NIFTY,-0.0030615499191917195,-0.002204805322409187,NIFTY,-0.0030615499191917195,100153.77920126151,104247.98957483565,96516.5848480408,100323.79344286882
2021-06-30,169.1300048828125,40.52000045776367,4.1739882273472935,4.161171934597366,3.929762614174329,NIFTY,NIFTY,-0.0011811075773904278,-0.005155882318508054,NIFTY,-0.0011811075773904278,100035.48681374261,104124.86148442111,96018.95669478,100005.918010186
2021-07-01,168.9199981689453,40.90999984741211,4.129063769224895,4.1739882273472935,3.9432940314797795,,NIFTY,-0.001241688096755511,0.009624861432441456,NIFTY,-0.001241688096755511,99911.27394051285,103995.57088333958,96943.12584785486,100425.10148282288
2021-07-02,169.33999633789062,41.150001525878906,4.115188093769427,4.1739882273472935,3.9432940314797795,,NIFTY,0.00248637327431922,0.005866577349351365,NIFTY,0.00248637327431922,100159.69066184171,104254.14269143148,97511.85019412919,100844.52443985446
2021-07-05,170.1300048828125,41.20000076293945,4.129368974086262,4.1739882273472935,3.9432940314797795,,NIFTY,0.004665221223611793,0.00121504824317209,NIFTY,0.004665221223611793,100626.95777646772,104740.51133056499,97630.33179639603,101141.02092883248
2021-07-06,170.1699981689453,41.61000061035156,4.089641809008076,4.1739882273472935,3.9432940314797795,,NIFTY,0.00023507485443485798,0.009951452422809481,NIFTY,0.00023507485443485798,100650.61264391926,104765.13319101946,98601.89539829097,101656.15881310242
2021-07-07,170.4600067138672,41.720001220703125,4.085810204369748,4.1739882273472935,3.9432940314797795,,NIFTY,0.0017042284071364655,0.0026436099192028717,NIFTY,0.0017042284071364655,100822.14427718273,104943.67690708101,98862.56034701811,101877.15108480043
